id,main url,title,price,category,images,short desc,نام 1 صفت,مقدار(های) 1 صفت,نام 2 صفت,مقدار(های) 2 صفت,نام 3 صفت,مقدار(های) 3 صفت,نام 4 صفت,مقدار(های) 4 صفت,نام 5 صفت,مقدار(های) 5 صفت,نام 6 صفت,مقدار(های) 6 صفت,نام 7 صفت,مقدار(های) 7 صفت,نام 8 صفت,مقدار(های) 8 صفت,نام 9 صفت,مقدار(های) 9 صفت,نام 10 صفت,مقدار(های) 10 صفت,نام 11 صفت,مقدار(های) 11 صفت,نام 12 صفت,مقدار(های) 12 صفت,نام 13 صفت,مقدار(های) 13 صفت,نام 14 صفت,مقدار(های) 14 صفت,نام 15 صفت,مقدار(های) 15 صفت,نام 16 صفت,مقدار(های) 16 صفت,نام 17 صفت,مقدار(های) 17 صفت,نام 18 صفت,مقدار(های) 18 صفت,نام 19 صفت,مقدار(های) 19 صفت,نام 20 صفت,مقدار(های) 20 صفت,نام 21 صفت,مقدار(های) 21 صفت,نام 22 صفت,مقدار(های) 22 صفت,نام 23 صفت,مقدار(های) 23 صفت,نام 24 صفت,مقدار(های) 24 صفت,نام 25 صفت,مقدار(های) 25 صفت,نام 26 صفت,مقدار(های) 26 صفت,نام 27 صفت,مقدار(های) 27 صفت,نام 28 صفت,مقدار(های) 28 صفت,نام 29 صفت,مقدار(های) 29 صفت,نام 30 صفت,مقدار(های) 30 صفت,نام 31 صفت,مقدار(های) 31 صفت,نام 32 صفت,مقدار(های) 32 صفت,نام 33 صفت,مقدار(های) 33 صفت,نام 34 صفت,مقدار(های) 34 صفت,نام 35 صفت,مقدار(های) 35 صفت,نام 36 صفت,مقدار(های) 36 صفت,نام 37 صفت,مقدار(های) 37 صفت,نام 38 صفت,مقدار(های) 38 صفت,نام 39 صفت,مقدار(های) 39 صفت,نام 40 صفت,مقدار(های) 40 صفت,نام 41 صفت,مقدار(های) 41 صفت,نام 42 صفت,مقدار(های) 42 صفت,نام 43 صفت,مقدار(های) 43 صفت,نام 44 صفت,مقدار(های) 44 صفت,نام 45 صفت,مقدار(های) 45 صفت,نام 46 صفت,مقدار(های) 46 صفت,نام 47 صفت,مقدار(های) 47 صفت,نام 48 صفت,مقدار(های) 48 صفت,نام 49 صفت,مقدار(های) 49 صفت,نام 50 صفت,مقدار(های) 50 صفت
1,https://damatajhiz.com/products/7819/فن-کویل-سقفی-توکار-ساراوان-مدل-fp170wa-1000,فن کویل سقفی توکار ساراوان مدل fp170wa-1000,12060000,فن کویل > فن کویل ساراوان,https://damava.ir/wp-content/uploads/2022/sarmayesh/1/1.jpg,<ol><li>برای مساحت حداکثر 70 متر مربع (براساس شرایط)</li><li>دارای فشار استاتیکی پایین</li><li>داراي فيلتر هواي قابل تعويض يا قابل شستشو</li><li>قابليت نصب ريموت كنترل</li></ol>,مدل دستگاه,fp170wa-1000,موقعیت نصب دستگاه,سقفی توکار,ظرفیت هوادهي CFM,1000,حداکثر قدرت سرمایش(BTU/hr),30708,حداکثر قدرت گرمایش(BTU/hr),22877,نوع برق مصرفی,تک فاز - 220 ولت,تعداد موتور,2,قدرت الکترموتور (W),40-35,تعداد فن,3,حداکثر صدا - Db,40/50,افت فشار آب (Kpa),22,ابعاد - mm,1700x1280x860,وزن - Kg,30,سایز لوله ورودی- Inch,3/4,سایز لوله خروجی- Inch,3/4,کشور سازنده ,چین,گارانتی,شرکت ساراوان اطلس,مدت گارانتی,12 ماه گارانتی از زمان نصب,گارانتی,12 ماه  گارانتی شرکت اطلس ساراوان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://damatajhiz.com/products/4441/فن-کویل-کاستی-یک-طرفه-گرین-مدل-g1wf300p1,فن کویل کاستی یک طرفه گرین مدل G1WF300P1,12705000,فن کویل > فن کویل گرین,"https://damava.ir/wp-content/uploads/2022/sarmayesh/2/1.jpg,https://damava.ir/wp-content/uploads/2022/sarmayesh/2/2.jpg",<ol><li>دارای فن سه سرعته با سطح صدای کم</li><li>دارای فیلتر قابل شستشو با دوره شستشوی طولانی مدت</li><li>مجهز به سیستم عیب یابی به صورت کدینگ+مجهز به پمپ درین</li><li>دارای تایمر خاموش و روشن و ریموت کنترل</li><li> برای مساحت تا 20 متر مربع (براساس شرایط)</li></ol>,مدل دستگاه,G1WF300P1,موقعیت نصب دستگاه,کاستی,ظرفیت هوادهي - CFM,153/224/300,حداکثر ظرفیت سرمایشی - W,2057/2460/2700,حداکثر ظرفیت گرمایشی - W,1774/2770/4050,نوع برق مصرفی,تک فاز - 220 ولت,حداکثر فشار کاری -bar,16,تعداد موتور,1,قدرت الکترموتور - W,52,تعداد فن,1,میزان صدا - Db,32/36/39,دبی آب - m3/h,0.46,افت فشار آب - Kpa,10.8,ابعاد خالص بدنه (ارتفاعxعرضxطول) - mm,850x400x235,ابعاد ناخالص بدنه (ارتفاعxعرضxطول) - mm,1040x478x310,ابعاد خالص پنل (ارتفاعxعرضxطول) - mm,1040x470x18,ابعاد ناخالص پنل (ارتفاعxعرضxطول) - mm,1055x515x175,وزن خالص بدنه | پنل - Kg,22 | 4,وزن ناخالص بدنه | پنل - Kg,26 | 6,سایز لوله ورودی و خروجی - inch,3/4,سایز لوله تخلیه- inch,3/4,کشور سازنده ,چین,مدت گارانتی,12 ماه گارانتی,گارانتی,12 ماه گارانتی شرکت پشم شیشه پارس,گارانتی,12 ماه گارانتی از زمان خرید,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://damatajhiz.com/products/651/فن-کویل-زمینی-gl-مدل-glkf4-600,فن کویل زمینی GL مدل GLKF4-600,11040000,فن کویل > فن کویل زمینی,https://damava.ir/wp-content/uploads/2022/sarmayesh/3/1.jpg,<ol><li>مجهز به فن سه دور با سطح صدای کم</li><li>دارای فیلتر آلومینیومی قابل شست و شو</li><li>طراحی باریک و زیبای بدنه و اشغال فضای کم</li><li>قابلیت اتصال لوله از هر دو سمت چپ و راست به کویل</li><li> برای مساحت حداکثر 40 متر مربع (براساس شرایط)</li></ol>,مدل دستگاه,GLKF4-600,موقعیت نصب دستگاه,زمینی,ظرفیت هوادهي CFM,600,حداکثر قدرت سرمایش(BTU/hr),19200,حداکثر قدرت گرمایش(BTU/hr),41765,نوع برق مصرفی,تک فاز - 220 ولت,حداکثر صدا - Db,39/41/44,افت فشار آب (Kpa),11.4,ابعاد - mm,1500x626x220,وزن - Kg,39,سایز لوله ورودی- Inch,3/4,سایز لوله خروجی- Inch,3/4,کشور سازنده ,ایران,گارانتی,شرکت گلدیران,مدت گارانتی,18 ماه گارانتی از زمان نصب,گارانتی,18 ماه گارانتی گلدیران,گارانتی,گارانتی 18 ماهه از زمان نصب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://damatajhiz.com/products/749/فن-کویل-سقفی-توکار-میدیا-با-کویل-سه-ردیفه-مدل-mkt3-300,فن کویل سقفی توکار میدیا با کویل سه ردیفه مدل MKT3-300,7728000,فن کویل > فن کویل میدیا,https://damava.ir/wp-content/uploads/2022/sarmayesh/4/1.jpg,<ol><li>کویل 3 ردیفه با لوله های مسی 10 میلی متر</li><li>فن سانتریفیوژ چهار سرعته و از جنس گالوانیزه</li><li>عملکرد کم صدا و آرام</li><li>مجهز به فیلتر قابل شستشو و قابل تعویض</li><li>برای مساحت حداکثر 20 متر مربع (براساس شرایط)</li></ol>,مدل دستگاه,MKT3-300,موقعیت نصب دستگاه,سقفی توکار,ظرفیت هوادهي CFM,300,حداکثر قدرت سرمایش(BTU/hr),11260,حداکثر قدرت گرمایش(BTU/hr),18084,نوع برق مصرفی,تک فاز - 220 ولت,تعداد کویل ,3 ردیف,تعداد موتور,-,قدرت الکترموتور (W),-,تعداد فن,-,حداکثر صدا - Db,27/33/36,افت فشار آب (Kpa),16,ابعاد - mm,812x241x526,وزن - Kg,19,سایز لوله ورودی- Inch,3/4,سایز لوله خروجی- Inch,3/4,کشور سازنده ,چین,مدت گارانتی,12 ماه گارانتی از زمان نصب,گارانتی,12 ماه گارانتی اصلی,گارانتی,گارانتی 12 ماهه از زمان نصب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://damatajhiz.com/products/748/فن-کویل-زمینی-میدیا-مدل-mkf-400,فن کویل زمینی میدیا مدل MKF-400,9292000,فن کویل > فن کویل میدیا,https://damava.ir/wp-content/uploads/2022/sarmayesh/5/1.jpg,<ol><li>کویل 2 ردیفه با لوله های مسی 10 میلی متر</li><li>قابلیت اتصال لوله از هر دو سمت چپ و راست به کویل</li><li>طراحی زیبا و دکوراتیو با عملکرد کم صدا</li><li>دارای فیلتر آلومینیومی قابل شست و شو</li><li>برای مساحت حداکثر 28 متر مربع (براساس شرایط)</li></ol>,مدل دستگاه,MKF-400,موقعیت نصب دستگاه,زمینی,ظرفیت هوادهي CFM,400,حداکثر قدرت سرمایش(BTU/hr),11185,حداکثر قدرت گرمایش(BTU/hr),24635,نوع برق مصرفی,تک فاز - 220 ولت,تعداد کویل,2,تعداد موتور,1,قدرت الکترموتور (W),-,تعداد فن,2,حداکثر صدا - Db,39,افت فشار آب (Kpa),8.6,ابعاد - mm,1000x626x220,وزن - Kg,26,سایز لوله ورودی- Inch,3/4,سایز لوله خروجی- Inch,3/4,کشور سازنده ,چین,مدت گارانتی,12 ماه گارانتی از زمان نصب,گارانتی,12 ماه گارانتی اصلی,گارانتی,گارانتی 12 ماهه از زمان نصب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://damatajhiz.com/products/735/فن-کویل-سقفی-توکار-gl-مدل-glt3h-2200,فن کویل سقفی توکار GL مدل GLT3H-2200,32200000,فن کویل > فن کویل گلدیران (GL),https://damava.ir/wp-content/uploads/2022/sarmayesh/6/1.jpg,<ol><li>کویل 3 ردیفه مسی</li><li>مجهز به فن گالوانیزه سه دور با سطح صدای کم و ترموستات کنترل</li><li>دارای فیلترهای آلومینیومی قابل شستشو</li><li>مجهز به ریموت کنترل بی‌سیم</li><li> برای مساحت حداکثر 170 متر مربع (براساس شرایط)</li></ol>,مدل دستگاه,GLT3H-2200,موقعیت نصب دستگاه,سقفی توکار,ظرفیت هوادهي CFM,2200,حداکثر قدرت سرمایش(BTU/hr),50000,حداکثر قدرت گرمایش(BTU/hr),50000,نوع برق مصرفی,تک فاز - 220 ولت,تعداد موتور,3,قدرت الکترموتور (W),142,تعداد فن,2,حداکثر صدا - Db,53/55/59,افت فشار آب (Kpa),-,ابعاد - mm,1490x526x230,وزن - Kg,-,سایز لوله ورودی- Inch,3/8,سایز لوله خروجی- Inch,3/8,کشور سازنده ,ایران,گارانتی,شرکت گلدیران,مدت گارانتی,18 ماه گارانتی از زمان نصب,گارانتی,18 ماه گارانتی گلدیران,گارانتی,گارانتی 18 ماهه از زمان نصب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://damatajhiz.com/products/692/فن-کویل-کاستی-چهارطرفه-gl-مدل-glkd-1200,فن کویل کاستی چهارطرفه GL مدل GLKD-1200,23690000,فن کویل > فن کویل گلدیران (GL),https://damava.ir/wp-content/uploads/2022/sarmayesh/7/1.jpg,<ol><li>دارای فن پیچشی 3 بعدی با سطح صدای کم</li><li>مجهز به ترموستات و ریموت کنترل بی سیم</li><li>طراحی کم حجم+مجهز به پمپ درین</li><li>کنترل و برنامه ریزی دستگاه بوسیله تایمر</li><li> برای مساحت حداکثر 80 متر مربع (براساس شرایط)</li></ol>,مدل دستگاه,GLKD-1200,موقعیت نصب دستگاه,سقفی,ظرفیت هوادهي CFM,1200,حداکثر قدرت سرمایش(BTU/hr),35400,حداکثر قدرت گرمایش(BTU/hr),59700,نوع برق مصرفی,تک فاز - 220 ولت,میزان صدا - Db,40/45/49,دبی آب(GPM),7.8,افت فشار آب(KPA),44,ابعاد خالص بدنه (ارتفاعxعرضxطول)- mm,840x840x300,ابعاد ناخالص بدنه (ارتفاعxعرضxطول)- mm,900x900x330,ابعاد خالص پنل (ارتفاعxعرضxطول)- mm,950x950x45,ابعاد ناخالص پنل (ارتفاعxعرضxطول)- mm,1035x1035x90,وزن خالص کل - Kg,36.5,سایز لوله ورودی- Inch,3/4,سایز لوله خروجی- Inch,3/4,سایز لوله درین- Inch,1/4 1,کشور سازنده ,ایران,گارانتی,شرکت گلدیران,مدت گارانتی,18 ماه گارانتی از زمان نصب,نصب رایگان,ندارد,گارانتی,18 ماه گارانتی گلدیران,گارانتی,گارانتی 18 ماهه از زمان نصب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://damatajhiz.com/products/681/فن-کویل-کاستی-یک-طرفه-gl-مدل-glkc-400,فن کویل کاستی یک طرفه GL مدل GLKC-400,18100000,فن کویل > فن کویل گلدیران (GL),https://damava.ir/wp-content/uploads/2022/sarmayesh/8/1.jpg,<ol><li>دارای فن سانتریفیوژ چهار سرعته با سطح صدای کم</li><li>دارای فیلترهای تصفیه هوای قابل شستشو</li><li>طراحی کم حجم+مجهز به پمپ درین</li><li>قابلیت نصب ترموستات جهت کنترل و برنامه ریزی دستگاه</li><li> برای مساحت حداکثر 28 متر مربع (براساس شرایط)</li></ol>,مدل دستگاه,GLKC-400,موقعیت نصب دستگاه,کاستی,ظرفیت هوادهي CFM,400,حداکثر قدرت سرمایش(BTU/hr),12900,حداکثر قدرت گرمایش(BTU/hr),21900,نوع برق مصرفی,تک فاز - 220 ولت,میزان صدا - Db,34/35/37,افت فشار آب (Kpa),20,ابعاد خالص بدنه (ارتفاعxعرضxطول)- mm,1054x425x169,ابعاد ناخالص بدنه (ارتفاعxعرضxطول)- mm,1155x490x245,ابعاد خالص پنل (ارتفاعxعرضxطول)- mm,1180x465x25,ابعاد ناخالص پنل (ارتفاعxعرضxطول)- mm,1232x517x107,وزن خالص کل - Kg,16.3,سایز لوله ورودی- Inch,1/2,سایز لوله خروجی- Inch,1/2,سایز لوله درین- Inch,1,کشور سازنده ,ایران,گارانتی,شرکت گلدیران,مدت گارانتی,18 ماه گارانتی از زمان نصب,گارانتی,18 ماه گارانتی گلدیران,گارانتی,گارانتی 18 ماهه از زمان نصب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://damatajhiz.com/products/4430/فن-کویل-دیواری-گرین-ایرباس-مدل-gwf300p1,فن کویل دیواری گرین ایرباس مدل GWF300P1,8855000,فن کویل > فن کویل گرین,"https://damava.ir/wp-content/uploads/2022/sarmayesh/9/1.jpg,https://damava.ir/wp-content/uploads/2022/sarmayesh/9/2.jpg",<ol><li>دارای فن سه سرعته با سطح صدای کم</li><li> دارای فیلتر قابل شستشو با دوره شستشوی طولانی مدت</li><li> امکان نصب شیر دوراهه یا سه راهه +سیستم تشخیص خودکار خطا</li><li>دارای ریموت کنترل بی سیم</li><li>برای مساحت حداکثر 20 متر مربع (براساس شرایط)</li></ol>,مدل دستگاه,GWF300P1,موقعیت نصب دستگاه,دیواری,ظرفیت هوادهي (زیاد | متوسط | کم) - CFM,300|225|150,ظرفیت سرمایشی (زیاد | متوسط | کم) - W,2712 | 2305 | 1763,ظرفیت گرمایشی (زیاد | متوسط | کم) - W,4070 | 3460 | 2646,نوع برق مصرفی,تک فاز - 220 ولت,حداکثر فشار کاری -bar,16,تعداد موتور,1,قدرت الکترموتور - W,52,تعداد فن,1,سطح صدا - Db,36/39/42,دبی آب - m3/h,0.61,ابعاد خالص (ارتفاعxعرضxطول) - mm,850x198x300,ابعاد ناخالص (ارتفاعxعرضxطول) - mm,885x270x360,وزن خالص | ناخالص - Kg,11 | 12.5,سایز لوله ورودی و خروجی - inch,1/2,سایز لوله تخلیه - inch,1/2,کشور سازنده ,چین,مدت گارانتی,12 ماه گارانتی,گارانتی,12 ماه گارانتی شرکت پشم شیشه پارس,گارانتی,12 ماه گارانتی از زمان خرید,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,https://damatajhiz.com/products/661/فن-کویل-دیواری-gl-مدل-glkg-600s,فن کویل دیواری GL مدل GLKG-600S,16376000,فن کویل > فن کویل گلدیران (GL),https://damava.ir/wp-content/uploads/2022/sarmayesh/10/1.jpg,<ol><li>مجهز به فن سه دور با سطح صدای کم</li><li>دارای فیلتر آلومینیومی قابل شست و شو</li><li>دارای نمایشگر LCD روی دستگاه + ریموت کنترل</li><li>دارای شیر سه راهه برقی جهت کنترل دبی آب</li><li> برای مساحت حداکثر 40 متر مربع (براساس شرایط)</li></ol>,مدل دستگاه,GLKG-600s,موقعیت نصب دستگاه,دیواری,ظرفیت هوادهي CFM,600,حداکثر قدرت سرمایش(BTU/hr),15200,حداکثر قدرت گرمایش(BTU/hr),21500,نوع برق مصرفی,تک فاز - 220 ولت,حداکثر صدا - Db,29/33/39,ابعاد - mm,1070x316x210,وزن - Kg,15,سایز لوله ورودی- Inch,3/4,سایز لوله خروجی- Inch,3/4,کشور سازنده ,ایران,گارانتی,شرکت گلدیران,مدت گارانتی,18 ماه گارانتی از زمان نصب,نصب رایگان,ندارد,گارانتی,18 ماه گارانتی گلدیران,گارانتی,گارانتی 18 ماهه از زمان نصب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
