title,price,category,images,short desc,attribute 1,value 1,attribute 2,value 2,attribute 3,value 3,attribute 4,value 4,attribute 5,value 5,attribute 6,value 6,attribute 7,value 7,attribute 8,value 8,attribute 9,value 9,attribute 10,value 10,attribute 11,value 11,attribute 12,value 12,attribute 13,value 13,attribute 14,value 14,attribute 15,value 15,attribute 16,value 16,attribute 17,value 17,attribute 18,value 18,attribute 19,value 19,attribute 20,value 20,attribute 21,value 21,attribute 22,value 22,attribute 23,value 23,attribute 24,value 24,attribute 25,value 25,attribute 26,value 26
پکیج دیواری گازی ایران رادیاتور مدل L24FF,12000000,پکیج دیواری و زمینی > پکیج دیواری,https://damava.ir/wp-content/uploads/2022/garmayesh/1/1.jpg,<ol><li>حداکثر توان گرمایی: 20640 کیلوکالری بر ساعت</li><li>مساحت تحت پوشش تا: 140 مترمربع</li><li>سیستم عیب یاب الکترونیکی: دارد</li><li>تعداد مبدل حرارتی: 2 مبدل</li><li>فن دودکش: دارد</li></ol>,گارانتی,2 سال گارانتی گروه صنعتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
پکیج شوفاژ دیواری ایران رادیاتور مدل L36FF,13600000,پکیج دیواری و زمینی > پکیج دیواری,https://damava.ir/wp-content/uploads/2022/garmayesh/2/1.jpg,<ol><li>حداکثر توان گرمایی: 30960 کیلوکالری بر ساعت</li><li>مساحت تحت پوشش تا: 210 مترمربع</li><li>سیستم عیب یاب الکترونیکی: ندارد</li><li>تعداد مبدل حرارتی: 2 مبدل</li><li>فن دودکش: دارد</li></ol>,گارانتی,2 سال گارانتی گروه صنعتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
پکیج دیواری گازی ایران رادیاتور مدل L28FF,12550000,پکیج دیواری و زمینی > پکیج دیواری,https://damava.ir/wp-content/uploads/2022/garmayesh/3/1.jpg,<ol><li>حداکثر توان گرمایی: 24080 کیلوکالری بر ساعت</li><li>مساحت تحت پوشش تا: 160 مترمربع</li><li>سیستم عیب یاب الکترونیکی: دارد</li><li>تعداد مبدل حرارتی: 2 مبدل</li><li>فن دودکش: دارد</li></ol>,گارانتی,2 سال گارانتی گروه صنعتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
پکیج دیواری ایران رادیاتور مدل M24FF,10350000,پکیج دیواری و زمینی > پکیج دیواری,https://damava.ir/wp-content/uploads/2022/garmayesh/4/1.jpg,<ol><li>مساحت تحت پوشش تا: 140 مترمربع</li><li>فن دودکش: دارد</li><li>تعداد مبدل حرارتی: 2 مبدل</li><li>سیستم عیب یاب الکترونیکی: دارد</li><li>حداکثر توان گرمایی: 20640 کیلوکالری برساعت</li></ol>,گارانتی,2 سال گارانتی گروه صنعتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل گازی کم مصرف ایران رادیاتور GMG-85,13990000,مشعل > مشعل ایران رادیاتور,https://damava.ir/wp-content/uploads/2022/garmayesh/5/1.jpg,<ol><li>قدرت گرمادهی: 85.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی و LPG </li><li>قطر لوله شعله پوش: 11.5 سانتیمتر</li><li>نحوه احتراق: یک مرحله ای</li><li>عملکرد مطلوب با فشار گاز پایین</li></ol>,مدل دستگاه,GMG-85,ظرفیت حرارتی kcal/h,"85,000",قطر شعله پوش CM,11.5,قطر خط گاز inch, 1/2,گارانتی,1 سال گارانتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل گازی کم مصرف ایران رادیاتور GMG-110,15800000,مشعل > مشعل ایران رادیاتور,https://damava.ir/wp-content/uploads/2022/garmayesh/7/1.jpg,<ol><li>قدرت گرمادهی: 109.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی و LPG </li><li>نحوه احتراق: یک مرحله ای</li><li>قطر لوله شعله پوش: 11.5 سانتیمتر</li><li>عملکرد مطلوب با فشار گاز پایین</li></ol>,مدل دستگاه,GMG-110,نحوه احتراق,یک مرحله ای,ظرفیت حرارتی kcal/h,"109,000",قطر شعله پوش CM,11.5,قطر خط گاز inch,1,گارانتی,1 سال گارانتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل گازی کم مصرف ایران رادیاتور GMG-220,16530000,مشعل > مشعل ایران رادیاتور,https://damava.ir/wp-content/uploads/2022/garmayesh/17/1.jpg,<ol><li>قدرت گرمادهی: 190.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی و LPG</li><li>نحوه احتراق: تک مرحله ای </li><li>قطر لوله شعله پوش: 11.5 سانتیمتر</li><li>عملکرد مطلوب با فشار گاز پایین</li></ol>,مدل دستگاه,GMG-220,نحوه احتراق,تک مرحله ای,ظرفیت حرارتی kcal/h,"190,000",قطر شعله پوش CM,11.5,قطر خط گاز inch,1,گارانتی,1 سال گارانتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
هیتر گازی فن دار انرژی مدل 640 (فن آلمانی),19243000,هیتر  > هیتر و بخاری کارگاهی انرژی,"https://damava.ir/wp-content/uploads/2022/garmayesh/18/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/18/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/18/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/18/4.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/18/5.jpg",<ol><li>نوع سوخت: گاز شهری </li><li> برق مصرفی: تک فاز 220 ولت</li><li> قابلیت نصب بر روی چهار پایه زمینی و دیواری</li><li> مناسب برای فضاهای صنعتی، کارگاه، فروشگاه، باشگاه ورزشی، بانک، مساجد و ...</li></ol>,مدل دستگاه,640 (فن آلمانی),نوع سوخت,گاز شهری ,توان حرارتی (kw),-,توان حرارتی (Kcal /Hr),33000-45000,مصرف سوخت (m3/Hr),4.8,فضای تحت پوشش (m3),900 ~ 700,جریان برق مصرفی (A),1,برق مصرفی ,تک فاز 220 ولت,قطر دودکش (cm),15,ارتفاع (cm),105,عرض (cm),72,عمق (cm),60,وزن (Kg),87,گارانتی,25 ماه گارانتی (از زمان نصب) شرکت انرژی,,,,,,,,,,,,,,,,,,,,,,,,
هیتر گازی فن دار انرژی مدل 640 (فن ایرانی),15883000,هیتر  > هیتر و بخاری کارگاهی انرژی,"https://damava.ir/wp-content/uploads/2022/garmayesh/25/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/25/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/25/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/25/4.jpg",<ol><li>فضای قابل گرمایش: 900 تا 700 مترمکعب</li><li>برق مصرفی: تک فاز 220 ولت</li><li>نوع سوخت: گاز طبیعی</li><li>قابل ارائه با فن تخلیه (اگزوست) همراه با سنسور دود</li></ol>,مدل دستگاه,640 (فن ایرانی),نوع سوخت,گاز طبیعی,توان حرارتی (kw),52,توان حرارتی (Kcal /Hr),45000,مصرف سوخت (m3/Hr),4.8,فضای تحت پوشش (m3),900 ~ 700,جریان برق مصرفی (A),1,برق مصرفی ,تک فاز 220 ولت,قطر دودکش (cm),-,ارتفاع (cm),102,عرض (cm),72,عمق (cm),60,وزن (Kg),87,گارانتی,25 ماه گارانتی شرکت انرژی(از زمان نصب),,,,,,,,,,,,,,,,,,,,,,,,
دیگ فولادی آبگرم آذران صنعت امرتات (کالور) C45,10830000,دیگ آبگرم فولادی > دیگ فولادی آبگرم آذران صنعت (کالور),"https://damava.ir/wp-content/uploads/2022/garmayesh/33/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/33/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/33/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/33/4.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/33/5.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/33/6.jpg",<ol><li>ظرفیت حرارتی : 45000 kcal/hr</li><li>حداکثر فشار کاری : 6 bar</li><li>نوع سوخت : سه گانه سوز (گاز- گازوئیل- مازوت)</li><li>ابعاد دیگ : 760*655*970 mm</li><li>دارای تکنولوژی شعله برگشتی</li></ol>,مدل دستگاه,C45,فشار کار (bar),6,حد اکثر قدرت گرمایش (kcal/hr),45,حد اکثر قدرت گرمایش  (KW),72,ابعاد (mm) (طول دیگ بدون مشعل),760,ابعاد (mm) (عرض دیگ),655,ابعاد (mm) (ارتفاع دیگ با پانل کنترلی),970,وزن (kg),157,سایز ورودی و خروجی اصلی دیگ(inch),1,قطر دهانه ورودی مشعلگیر(mm),92,قطر دهانه خروجی دودکش (mm),150,سایز تخلیه دیگ (inch),1/2 ,ارتفاع مرکز مشعلگیر (mm),340,ارتفاع مرکز دودوکش (mm),440,بازدهی حرارت (%),88,نوع سوخت مصرفی,گاز- گازوئیل- مازوت,کشور سازنده,ایران,گارانتی,3 سال ضمانت آذران صنعت امرتات,,,,,,,,,,,,,,,,
