id,main url,title,price,category,images,short desc,attribute 1,value 1,attribute 2,value 2,attribute 3,value 3,attribute 4,value 4,attribute 5,value 5,attribute 6,value 6,attribute 7,value 7,attribute 8,value 8,attribute 9,value 9,attribute 10,value 10,attribute 11,value 11,attribute 12,value 12,attribute 13,value 13,attribute 14,value 14,attribute 15,value 15,attribute 16,value 16,attribute 17,value 17,attribute 18,value 18,attribute 19,value 19,attribute 20,value 20,attribute 21,value 21,attribute 22,value 22,attribute 23,value 23,attribute 24,value 24,attribute 25,value 25,attribute 26,value 26,attribute 27,value 27,attribute 28,value 28,attribute 29,value 29,attribute 30,value 30,attribute 31,value 31
1,https://damatajhiz.com/products/5472/پکیج-دیواری-گازی-ایران-رادیاتور-مدل-l24ff,پکیج دیواری گازی ایران رادیاتور مدل L24FF,12000000,پکیج دیواری و زمینی›پکیج دیواری›,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/1/1.jpg,<ol><li>حداکثر توان گرمایی: 20640 کیلوکالری بر ساعت</li><li>مساحت تحت پوشش تا: 140 مترمربع</li><li>سیستم عیب یاب الکترونیکی: دارد</li><li>تعداد مبدل حرارتی: 2 مبدل</li><li>فن دودکش: دارد</li></ol>,گارانتی,2 سال گارانتی گروه صنعتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://damatajhiz.com/products/869/پکیج-شوفاژ-دیواری-ایران-رادیاتور-مدل-l36ff,پکیج شوفاژ دیواری ایران رادیاتور مدل L36FF,13600000,پکیج دیواری و زمینی›پکیج دیواری›,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/2/1.jpg,<ol><li>حداکثر توان گرمایی: 30960 کیلوکالری بر ساعت</li><li>مساحت تحت پوشش تا: 210 مترمربع</li><li>سیستم عیب یاب الکترونیکی: ندارد</li><li>تعداد مبدل حرارتی: 2 مبدل</li><li>فن دودکش: دارد</li></ol>,گارانتی,2 سال گارانتی گروه صنعتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://damatajhiz.com/products/666/پکیج-دیواری-گازی-ایران-رادیاتور-مدل-l28ff,پکیج دیواری گازی ایران رادیاتور مدل L28FF,12550000,پکیج دیواری و زمینی›پکیج دیواری›,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/3/1.jpg,<ol><li>حداکثر توان گرمایی: 24080 کیلوکالری بر ساعت</li><li>مساحت تحت پوشش تا: 160 مترمربع</li><li>سیستم عیب یاب الکترونیکی: دارد</li><li>تعداد مبدل حرارتی: 2 مبدل</li><li>فن دودکش: دارد</li></ol>,گارانتی,2 سال گارانتی گروه صنعتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://damatajhiz.com/products/564/پکیج-دیواری-ایران-رادیاتور-مدل-m24ff,پکیج دیواری ایران رادیاتور مدل M24FF,10350000,پکیج دیواری و زمینی›پکیج دیواری›,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/4/1.jpg,<ol><li>مساحت تحت پوشش تا: 140 مترمربع</li><li>فن دودکش: دارد</li><li>تعداد مبدل حرارتی: 2 مبدل</li><li>سیستم عیب یاب الکترونیکی: دارد</li><li>حداکثر توان گرمایی: 20640 کیلوکالری برساعت</li></ol>,گارانتی,2 سال گارانتی گروه صنعتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://damatajhiz.com/products/2422/مشعل-گازی-کم-مصرف-ایران-رادیاتور-gmg-85,مشعل گازی کم مصرف ایران رادیاتور GMG-85,13990000,مشعل›مشعل ایران رادیاتور›,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/5/1.jpg,<ol><li>قدرت گرمادهی: 85.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی و LPG </li><li>قطر لوله شعله پوش: 11.5 سانتیمتر</li><li>نحوه احتراق: یک مرحله ای</li><li>عملکرد مطلوب با فشار گاز پایین</li></ol>,مدل,,GMG-85,ظرفیت حرارتی kcal/h,"85,000",قطر شعله پوش CM,11.5,قطر خط گاز inch, 1/2,گارانتی,1 سال گارانتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://damatajhiz.com/products/4952/منبع-انبساط-باز-200-لیتری-دماتجهیز,منبع انبساط باز 200 لیتری دماتجهیز,2050000,منبع آب›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/6/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/6/2.jpg","<ol><li>ظرفیت: 200 لیتر</li><li>ابعاد(ارتفاع، طول، عرض): (50،50،80) سانتی متر</li><li>ضخامت : 2، 2.5، 3  میلی متر</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی</li><li>دارای 30 ماه گارانتی طلایی شرکت دماتجهیز و 10 سال خدمات پس از فروش</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://damatajhiz.com/products/2424/مشعل-گازی-کم-مصرف-ایران-رادیاتور-gmg-110,مشعل گازی کم مصرف ایران رادیاتور GMG-110,15800000,مشعل›مشعل ایران رادیاتور›,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/7/1.jpg,<ol><li>قدرت گرمادهی: 109.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی و LPG </li><li>نحوه احتراق: یک مرحله ای</li><li>قطر لوله شعله پوش: 11.5 سانتیمتر</li><li>عملکرد مطلوب با فشار گاز پایین</li></ol>,مدل,,GMG-110,,نحوه احتراق,,یک مرحله ای,ظرفیت حرارتی kcal/h,"109,000",قطر شعله پوش CM,11.5,قطر خط گاز inch,1,گارانتی,1 سال گارانتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://damatajhiz.com/products/4954/منبع-انبساط-باز-250-لیتری-دماتجهیز,منبع انبساط باز 250 لیتری دماتجهیز,2300000,منبع آب›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/8/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/8/2.jpg","<ol><li>ظرفیت: 250 لیتر</li><li>ابعاد(ارتفاع، طول، عرض): (50،50،100) سانتی متر</li><li>ضخامت : 2، 2.5، 3  میلی متر</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی</li><li>دارای 30 ماه گارانتی طلایی شرکت دماتجهیز و 10 سال خدمات پس از فروش</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://damatajhiz.com/products/4956/منبع-انبساط-باز-300-لیتری-دماتجهیز,منبع انبساط باز 300 لیتری دماتجهیز,2550000,منبع آب›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/9/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/9/2.jpg","<ol><li>ظرفیت: 300 لیتر</li><li>ابعاد(ارتفاع، طول، عرض): (60،50،100) سانتی متر</li><li>ضخامت : 2، 2.5، 3 میلی متر</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی</li><li>دارای 30 ماه گارانتی طلایی شرکت دماتجهیز و 10 سال خدمات پس از فروش</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,https://damatajhiz.com/products/2773/منبع-کويلی-ایستاده-400-لیتری-دماتجهیز,منبع کويلی ایستاده 400 لیتری دماتجهیز,8300000,منبع آب›منبع آب و کویلی دماتجهیز›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/2.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/3.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/4.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/5.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/6.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/7.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/8.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/9.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/10.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/11.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/12.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/10/13.jpg","<ol><li>ظرفیت: 400 لیتر</li><li>ابعاد(قطر، ارتفاع): 65 * 100 سانتیمتر</li><li>سطح کویل: 12 فوت مربع</li><li>تولید شده در دو نوع مختلف با ضخامت ورق بدنه 4 و 5 میلیمتری</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی ST37 مخصوص منابع فشار قوی</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
